Player,Tm,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
372,13,9,0,40.983333333333334,17.0,27.0,0.63,2.0,10.0,0.2,7.0,10.0,0.7,0.0,12.0,12.0,9.0,2.0,1.0,3.0,1.0,43.0,-8.0,38.9,0
19,10,20,0,48.88333333333333,12.0,24.0,0.5,5.0,8.0,0.625,10.0,11.0,0.909,4.0,7.0,11.0,7.0,2.0,1.0,4.0,5.0,39.0,9.0,33.1,0
275,9,13,1,34.733333333333334,7.0,14.0,0.5,1.0,2.0,0.5,16.0,16.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,1.0,4.0,31.0,20.0,27.5,0
501,20,10,1,47.21666666666667,12.0,26.0,0.462,1.0,9.0,0.111,10.0,14.0,0.714,0.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,35.0,3.0,24.6,0
37,13,9,0,36.333333333333336,9.0,16.0,0.563,1.0,5.0,0.2,7.0,10.0,0.7,1.0,4.0,5.0,9.0,2.0,0.0,5.0,5.0,26.0,-14.0,20.4,0
88,20,10,1,38.5,11.0,17.0,0.647,2.0,5.0,0.4,4.0,4.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,3.0,6.0,28.0,-1.0,19.4,0
509,9,13,1,32.06666666666667,6.0,14.0,0.429,3.0,9.0,0.333,8.0,8.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,23.0,1.0,19.2,0
289,9,13,1,32.9,6.0,11.0,0.545,4.0,6.0,0.667,1.0,2.0,0.5,3.0,6.0,9.0,6.0,1.0,0.0,2.0,3.0,17.0,4.0,17.2,0
83,20,10,1,41.65,5.0,10.0,0.5,3.0,8.0,0.375,1.0,2.0,0.5,1.0,6.0,7.0,5.0,4.0,0.0,2.0,3.0,14.0,8.0,15.4,0
333,10,20,0,47.05,9.0,16.0,0.563,0.0,4.0,0.0,5.0,6.0,0.833,0.0,9.0,9.0,3.0,0.0,0.0,4.0,6.0,23.0,0.0,13.4,0
11,20,10,1,14.6,6.0,12.0,0.5,3.0,6.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,16.0,2.0,12.3,0
21,10,20,0,38.6,8.0,17.0,0.471,0.0,7.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,4.0,3.0,18.0,-11.0,11.3,0
68,9,13,1,22.25,6.0,11.0,0.545,5.0,10.0,0.5,0.0,0.0,0.767805115408609,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,17.0,5.0,11.0,0
218,10,20,0,41.75,7.0,15.0,0.467,2.0,6.0,0.333,0.0,0.0,0.767805115408609,3.0,2.0,5.0,0.0,1.0,0.0,0.0,4.0,16.0,2.0,10.4,0
